Chapter	Id	Category	Conditions	Url	Name	
※ 2023年1月19日(木)～1月25日(水)
		プリマジスタジオ第2章ラストプリンセス	
2期1章	834	10	「しろ×スターコンテスト」のけっしょうせんをクリアする		しろター！ウィナー	
2期1章	833	10	「あお×カジュアルコンテスト」のけっしょうせんをクリアする		あジュアル！ウィナー	
2期1章	307	6	プリマジスタジオだい1しょうのさいごのしゅうに10かいあそぶ		プリマジスタジオ第1章ラストプリンセス	
2期1章	78	3	プリマジスタジオライブを5かいあそんだ	https://primagi.jp/howto/details18/	プリマジスタジオライブデビュー！	
2期1章	81	3	プリマジスタジオライブを300かいあそんだ	https://primagi.jp/howto/details18/	プリマジスタジオライブ殿堂入り	
2期1章	80	3	プリマジスタジオライブを100かいあそんだ	https://primagi.jp/howto/details18/	プリマジスタジオライブトップスター	
2期1章	79	3	プリマジスタジオライブを50かいあそんだ	https://primagi.jp/howto/details18/	プリマジスタジオライブレギュラー	
2期1章	832	10	「みどり×チェックコンテスト」のけっしょうせんをクリアする		みェック！ウィナー	
2期1章	324	6	プリマジスタジオだい1しょうのさいしょのしゅうに10かいあそぶ 
2022年11月2日（水）～11月8日（火）		ファーストプリンセス2022秋	
1期1章	2	5	プリズムストーンのおみせで1かいあそぶ		ウェルカムプリズムストーン	
1期6章	827	10	「みずいろ×ガーリーコンテスト」のけっしょうせんをクリアする		みずーリー！ウィナー	
1期6章	828	10	「ピンク×ハートコンテスト」のけっしょうせんをクリアする		ピンハート！ウィナー	
1期6章	829	10	「シルバー×ダンスコンテスト」のけっしょうせんをクリアする		シルバンス！ウィナー	
1期6章	830	10	「くろ×アニマルコンテスト」のけっしょうせんをクリアする		くろニマル！ウィナー	
1期6章	831	10	「しろ×ライブコンテスト」のけっしょうせんをクリアする		しろイブ！ウィナー	
1期3章	801	10	「むらさき×スタイリッシュコンテスト」のけっしょうせんをクリアする		むらさきイリッシュ！ウィナー	
1期3章	802	10	「ポップ×スポーティーコンテスト」のけっしょうせんをクリアする		ポッポーティー！ウィナー	
1期3章	803	10	「あか×リボンコンテスト」のけっしょうせんをクリアする		あかボン！ウィナー	
1期3章	804	10	「ゴシック×ライブコンテスト」のけっしょうせんをクリアする		ゴシライブ！ウィナー	
1期3章	805	10	「みどり×クールコンテスト」のけっしょうせんをクリアする		みどール！ウィナー	
1期3章	806	10	「ガーリー×きいろコンテスト」のけっしょうせんをクリアする		きガーリー！ウィナー	
1期4章	807	10	「ラブリー×スイーツコンテスト」のけっしょうせんをクリアする		ラブィーツ！ウィナー	
1期4章	808	10	「あお×チェックコンテスト」のけっしょうせんをクリアする		あおェック！ウィナー	
1期4章	809	10	「ちゃいろ×キュートコンテスト」のけっしょうせんをクリアする		ちゃいート！ウィナー	
1期4章	810	10	「カジュアル×ピンクコンテスト」のけっしょうせんをクリアする		カジュンク！ウィナー	
1期4章	811	10	「みずいろ×デジタルコンテスト」のけっしょうせんをクリアする		みずタル！ウィナー	
1期4章	812	10	「エレガント×ミステリアスコンテスト」のけっしょうせんをクリアする		エレステリアス！ウィナー	
1期4章	813	10	「ダンス×オレンジコンテスト」のけっしょうせんをクリアする		ダンレンジ！ウィナー	
1期5章	814	10	「あか×ベーシックコンテスト」のけっしょうせんをクリアする		あかーシック！ウィナー	
1期5章	815	10	「ジュエル×クールコンテスト」のけっしょうせんをクリアする		ジュエール！ウィナー	
1期5章	816	10	「フラワー×ハートコンテスト」のけっしょうせんをクリアする		フラワート！ウィナー	
1期5章	817	10	「スター×ライブコンテスト」のけっしょうせんをクリアする		スターイブ！ウィナー	
1期5章	818	10	「むらさき×キュートコンテスト」のけっしょうせんをクリアする		むらさキュート！ウィナー	
1期5章	819	10	「ゴシック×きいろコンテスト」のけっしょうせんをクリアする		ゴシッき！ウィナー	
1期5章	820	10	「しろ×スタイリッシュコンテスト」のけっしょうせんをクリアする		しろイリッシュ！ウィナー	
1期6章	821	10	「オレンジ×ポップコンテスト」のけっしょうせんをクリアする		オレンップ！ウィナー	
1期6章	822	10	「カジュアル×ミステリアスコンテスト」のけっしょうせんをクリアする		カジュアリアス！ウィナー	
1期6章	823	10	「ジュエル×スポーティーコンテスト」のけっしょうせんをクリアする		ジュエポーティー！ウィナー	
1期6章	824	10	「リボン×ラブリーコンテスト」のけっしょうせんをクリアする		リボブリー！ウィナー	
1期6章	825	10	「みどり×ベーシックコンテスト」のけっしょうせんをクリアする		みどシック！ウィナー	
1期6章	826	10	「エレガント×ゴールドコンテスト」のけっしょうせんをクリアする		エレガールド！ウィナー	
1期4章	605	8	あつまれ！ベストフレンドでれもんのなかよしどが10になる		れもん大好き💛	
1期4章	607	8	あつまれ！ベストフレンドであまねのなかよしどが10になる		あまね大好き💛	
1期4章	609	8	あつまれ！ベストフレンドであうるのなかよしどが10になる		あうる大好き💛	
1期4章	611	8	あつまれ！ベストフレンドでみるきのなかよしどが10になる		みるき大好き💛	
1期6章	613	8	あつまれ！ベストフレンドでジェニファーのなかよしどが10になる		ジェニファー大好き💛	
1期4章	641	8	はじめてフレンドができる		はじめてのフレンド	
1期4章	642	8	フレンドのかずが10にんになる		ちっこいフレンドの輪！	
1期4章	643	8	フレンドのかずが100にんになる		たのしいフレンドの輪！	
1期4章	644	8	フレンドのかずが300にんになる		ひろーいフレンドの輪！	
1期4章	645	8	フレンドのかずが500にんになる		おっきいフレンドの輪！	
1期4章	661	8	フレンドランクが10になる		フレンドパークのにんきもの！	
1期4章	681	8	あつまれ！ベストフレンドでなかよしど20のフレンドができる		はじめましてベストフレンドです。	
1期4章	682	8	あつまれ！ベストフレンドでなかよしど50のフレンドができる		ベストフレンドフォーエバー！	
1期4章	683	8	あつまれ！ベストフレンドでなかよしど99のフレンドができる		3150フレンドフォーエバー！	
1期2章	701	5	フレアエレメンツコーデをフルコーデきて「フレアエレメンツコーデフェス」のアンコールライブを1かいあそぶ		フレアエレメンツマスター	
1期3章	702	5	アクアエレメンツコーデをフルコーデきて「アクアエレメンツコーデフェス」のアンコールライブを1かいあそぶ		アクアエレメンツマスター	
1期4章	703	5	フラッシュエレメンツコーデをフルコーデきて「フラッシュエレメンツコーデフェス」のアンコールライブを1かいあそぶ		フラッシュエレメンツマスター	
1期5章	704	5	ダークネスエレメンツコーデをフルコーデきて「ダークネスエレメンツコーデフェス」のアンコールライブを1かいあそぶ		ダークネスエレメンツマスター	
1期5章	705	5	ブライトネスエレメンツコーデをフルコーデきて「ブライトネスエレメンツコーデフェス」のアンコールライブを1かいあそぶ		ブライトネスエレメンツマスター	
1期6章	706	5	サンシャインエレメンツコーデをフルコーデきて「サンシャインエレメンツコーデフェス」のアンコールライブを1かいあそぶ		サンシャインエレメンツマスター	
1期6章	707	5	ラブエレメンツコーデをフルコーデきて「ラブエレメンツコーデフェス」のアンコールライブを1かいあそぶ		ラブエレメンツマスター	
1期6章	708	5	エレメンツマスターのキャッチコピーをすべてあつめる1かいあそぶ		エレメンツレジェンド	
1期5章	512	2	「ポチャッコだいすきコーデ」を10かいきる		ポチャッコだいすき	
1期6章	513	5	「はんなりゆかたふじいろチャンス」を1かいあそぶ		はんなりキ・ブ・ン	
1期6章	514	5	「ハロウィンフリルパンプキンチャンス」を1かいあそぶ		トリック・オア・パンプキン	
1期6章	515	2	「マイメロディだいすきコーデ」を10かいきる		マイメロディだいすき	
1期6章	516	2	「クロミだいすきコーデ」を10かいきる		クロミだいすき	
2期1章	517	5	「ショートケーキストロベリーチャンス」を1かいあそぶ		ケーキといえば！ショートケーキ！	
1期6章	306	6	だい６しょうのさいごのしゅうに10かいあそぶ		第6章ラストプリンセス	
1期4章	321	6	だい４しょうのさいしょのしゅうに10かいあそぶ		ファーストプリンセス2022春	
1期5章	322	6	だい5しょうのさいしょのしゅうに10かいあそぶ		ファーストプリンセス2022初夏	
1期6章	323	6	だい6しょうのさいしょのしゅうに10かいあそぶ		ファーストプリンセス2022夏	
1期4章	601	8	あつまれ！ベストフレンドでまつりのなかよしどが10になる		まつり大好き💛	
2期1章	602	8	あつまれ！ベストフレンドでみゃむのなかよしどが10になる　		みゃむ大好き💛	
1期4章	603	8	あつまれ！ベストフレンドでひなのなかよしどが10になる		ひな大好き💛	
1期1章	401	3	「私のミラクルステージ」を10かいあそぶ		私のミラクルステージ	
1期1章	402	3	「マジ・ワッチャパレード」を10かいあそぶ		マジ・ワッチャパレード	
1期1章	403	3	「Starlight!」を10かいあそぶ		Starlight!	
1期1章	404	3	「本気の夢ストーリー」を10かいあそぶ		本気の夢ストーリー	
1期2章	405	3	「Dreaming Sound」を10かいあそぶ		Dreaming Sound	
1期2章	406	3	「こんな世界に告ぐ」を10かいあそぶ		こんな世界に告ぐ	
1期3章	407	3	「The Secret Garden」を10かいあそぶ		The Secret Garden	
1期3章	408	3	「VIVIマジ ct☆STAR」を10かいあそぶ		VIVIマジ ct☆STAR	
1期3章	409	3	「Believe」を10かいあそぶ		Believe	
1期4章	410	3	「滲む、馨る、」 を10かいあそぶ		滲む、馨る、	
1期4章	411	3	「イワナイ」を10かいあそぶ		イワナイ	
1期4章	412	3	「私のミラクルステージ
-コーデメイツ本日お休み- 」を1かいあそぶ		本日はお休みです	
1期5章	413	3	「奇跡の降る」を10かいあそぶ		奇跡の降る	
1期5章	414	3	「マジでマジマジプリマジDuoParty」を10かいあそぶ		マジでマジマジプリマジDuoParty	
1期5章	415	3	「天頂のコンフィアンサ」を10かいあそぶ		天頂のコンフィアンサ	
1期5章	416	3	「Sweetness×Darkness」を10かいあそぶ		Sweetness×Darkness	
1期6章	417	3	「Lux Aeterna」を10かいあそぶ		Lux Aeterna	
1期6章	418	3	「ワッチャ！プリーズ！マジック！」5人Verを10かいあそぶ		ワッチャ！プリーズ！マジック！ -What's your "Please" Magic?-	
1期6章	419	3	「ワッチャ！プリーズ！マジック！」6人Verを10かいあそぶ		ワッチャ！プリーズ！マジック！ -What's your "Please" Magic?-	
1期6章	420	3	「ワッチャ！プリーズ！マジック！ なつやすみおつかれサマー ！を」1かいあそぶ		おつかれサマー！	
2期1章	421	3	「おしゃれプリンセス♡マジックスター！」を10かいあそぶ		おしゃれプリンセス♡マジックスター！	
2期1章	422	3	「本気アピショータイム」を10かいあそぶ		本気アピショータイム	
1期1章	501	5	「フルーツパフェもりもりプリマジ」を1かいあそぶ		フルーツパフェサイコー！	
1期2章	502	5	「クリスマスベルチャンス」を1かいあそぶ		ホーリーナイトクリスマス！	
1期2章	503	5	「2022!マナマナみゃむチャンス」を1かいあそぶ		2022年もよろしくな！	
1期3章	504	5	「ショコラティエホワイトチャンス」を1かいあそぶ		ハッピースイートショコラティエ！	
1期3章	505	2	だい3しょうで「キラパワサニーキラリコーデ」を5かいきる		ビビ～～っとキッタぁ～～～！	
1期4章	506	5	「イースターバニーブラックチャンス」を1かいあそぶ		ハッピーうさうさイースター！	
1期4章	507	2	だい4しょうで「キラパワムーンユヅキコーデ」を5かいきる		私が力になれるなら！	
1期4章	508	2	だい４しょうで「ハローキティだいすきコーデ」を10かいきる		ハローキティだいすき	
1期4章	509	2	だい４しょうで「ポムポムプリンだいすきコーデ」を10かいきる		ポムポムプリンだいすき	
1期5章	510	5	「フォーチュンスターオレンジチャンス」を1かいあそぶ		輝くフォーチュンスター	
1期5章	511	2	「シナモロールだいすきコーデ」を10かいきる		シナモロールだいすき	
1期1章	301	6	だい１しょうのさいごのしゅうに10かいあそぶ		第1章ラストプリンセス	
1期2章	302	6	だい２しょうのさいごのしゅうに10かいあそぶ		第2章ラストプリンセス	
1期3章	303	6	だい３しょうのさいごのしゅうに10かいあそぶ		第3章ラストプリンセス	
1期4章	304	6	だい４しょうのさいごのしゅうに10かいあそぶ		第4章ラストプリンセス	
1期5章	305	6	だい５しょうのさいごのしゅうに10かいあそぶ		第5章ラストプリンセス	
1期1章	106	3	プリマジを200かいする		感動のスーパープリマジスタ	
1期1章	107	3	プリマジを300かいする		栄光のプリマジスターダム	
1期3章	108	3	プリマジを600かいする		憧れベストプリマジスタ	
1期3章	109	3	プリマジを1000かいする		華麗なカリスマプリマジスタ	
1期1章	151	1	ランクが5になる		1つ星プリマジスタ	
1期1章	152	1	ランクが10になる		2つ星プリマジスタ	
1期1章	153	1	ランクが15になる		3つ星プリマジスタ	
1期1章	154	1	ランクが20になる		4つ星プリマジスタ	
1期2章	155	1	ランクが25になる		5つ星プリマジスタ	
1期2章	156	1	ランクが30になる		6つ星プリマジスタ	
1期3章	157	1	ランクが35になる		7つ星プリマジスタ	
1期3章	158	1	ランクが40になる		8つ星プリマジスタ	
1期4章	159	1	ランクが45になる		9つ星プリマジスタ	
1期4章	160	1	ランクが50になる		10星プリマジスタ	
1期5章	161	1	ランクが55になる		11星プリマジスタ	
1期5章	162	1	ランクが60になる		12星プリマジスタ	
1期6章	163	1	ランクが65になる		13星プリマジスタ	
1期6章	164	1	ランクが70になる		14星プリマジスタ	
1期1章	201	2	ラブリーメロディのコーデを50かいきる		ラブリーメロディ好き♡	
1期1章	202	2	ラブリーメロディのコーデを100かいきる		ラブリーメロディマジLOVE	
1期1章	203	2	ラブリーメロディのコーデを300かいきる		ラブリーメロディマジマニア	
1期1章	204	2	ビビッドスターのコーデを50かいきる		ビビッドスター好き♡	
1期1章	205	2	ビビッドスターのコーデを100かいきる		ビビッドスターマジLOVE	
1期1章	206	2	ビビッドスターのコーデを300かいきる		ビビッドスターマジマニア	
1期1章	207	2	プリズムストーンのコーデを50かいきる		プリズムストーン好き♡	
1期1章	208	2	プリズムストーンのコーデを100かいきる		プリズムストーンマジLOVE	
1期1章	209	2	プリズムストーンのコーデを300かいきる		プリズムストーンマジマニア	
1期2章	210	2	レディアントアビスのコーデを50かいきる		レディアントアビス好き♡	
1期2章	211	2	レディアントアビスのコーデを100かいきる		レディアントアビスマジLOVE	
1期2章	212	2	レディアントアビスのコーデを300かいきる		レディアントアビスマジマニア	
1期3章	213	2	エターナルレヴューのコーデを50かいきる		エターナルレヴュー好き♡	
1期3章	214	2	エターナルレヴューのコーデを100かいきる		エターナルレヴューマジLOVE	
1期3章	215	2	エターナルレヴューのコーデを300かいきる		エターナルレヴューマジマニア	
1期3章	216	2	シャイニングディーバのコーデを50かいきる		シャイニングディーバ好き♡	
1期3章	217	2	シャイニングディーバのコーデを100かいきる		シャイニングディーバマジLOVE	
1期3章	218	2	シャイニングディーバのコーデを300かいきる		シャイニングディーバマジマニア	
1期4章	219	2	エレクトロリミックスのコーデを50かいきる		エレクトロリミックス好き♡	
1期4章	220	2	エレクトロリミックスのコーデを100かいきる		エレクトロリミックスマジLOVE	
1期4章	221	2	エレクトロリミックスのコーデを300かいきる		エレクトロリミックスマジマニア	
1期4章	222	2	チェリーシュガーのコーデを50かいきる		チェリーシュガー好き♡	
1期4章	223	2	チェリーシュガーのコーデを100かいきる		チェリーシュガーマジLOVE	
1期4章	224	2	チェリーシュガーのコーデを300かいきる		チェリーシュガーマジマニア	
2期1章	225	2	プリンセスマジックのコーデを50かいきる		プリンセスマジック好き♡	
2期1章	226	2	プリンセスマジックのコーデを100かいきる		プリンセスマジックマジLOVE	
2期1章	227	2	プリンセスマジックのコーデを300かいきる		プリンセスマジックマジマニア	
1期1章	33	3	プリマジフロートタイムで10まいカードゲットする		ワッチャの目覚め	
1期1章	34	3	プリマジフロートタイムで50まいカードゲットする		ワッチャの申し子	
1期1章	35	3	プリマジフロートタイムで100まいカードゲットする		ワッチャのキセキ	
1期1章	36	3	プリマジフロートタイムで300まいカードゲットする		ワッチャの神	
1期1章	37	3	だい1しょうでプリマジを30かいあそぶ		第1章プリマジマスター	
1期2章	38	3	だい2しょうでプリマジを30かいあそぶ		第2章プリマジマスター	
1期3章	39	3	だい3しょうでプリマジを30かいあそぶ		第3章プリマジマスター	
1期4章	40	3	だい4しょうでプリマジを30かいあそぶ		第4章プリマジマスター	
1期5章	41	3	だい5しょうでプリマジを30かいあそぶ		第5章プリマジマスター	
1期6章	42	3	だい6しょうでプリマジを30かいあそぶ		第6章プリマジマスター	
1期3章	43	10	ミックスコーデコンテストを1かいあそぶ		ミックスコンテストはじめました！	
1期3章	44	10	ミックスコーデコンテストを20かいあそぶ		ミックスコーデビギナー	
1期3章	45	10	ミックスコーデコンテストを100かいあそぶ		ミックスコーデのプロ	
1期3章	46	10	ミックスコーデコンテストを300かいあそぶ		ミックスコーデの達人	
1期3章	47	10	ミックスコーデコンテストでぴったりボーナスを30かいとる		ぴったりスタイル！	
1期3章	48	10	ミックスコーデコンテストでぴったりボーナスを100かいとる		マジぴったりスタイル！	
1期3章	49	10	ミックスコーデコンテストでぴったりボーナスを300かいとる		マジマジぴったりスタイル！	
1期3章	50	10	ミックスコーデコンテストでぴったりボーナスを500かいとる		マジマジマジぴったりスタイル！	
1期3章	51	7	プリマジスタジオランウェイを500かいする		グローバルファッションスター	
1期3章	52	7	プリマジスタジオランウェイを1000かいする		GOGO！ランウェイ１０００！	
1期3章	53	3	「ワッチャフル」を50000かいとる		ワッチャフルフルフルフルフル！	
1期3章	54	3	「ワッチャフル」を100000かいとる		ワッチャフルフルフルフルフルフル！	
1期4章	60	2	めちゃマジちゅうもくスペシャルコーデを350まいゲットする		果てしない注目コレクション	
1期4章	61	2	めちゃマジちゅうもくスペシャルコーデを500まいゲットする		いつでも注目コレクション	
1期4章	62	3	マイキャラで500かいあそぶ		マイキャラ以外マイキャラじゃないの！	
1期4章	63	3	マイキャラで1000かいあそぶ		マイキャラ＝わたし！	
2期1章	64	3	プリマジスタジオだい1しょうでプリマジを30かいあそぶ		プリマジスタジオ第1章プリマジマスター	
2期1章	72	3	タントちゃんを500かいおうえんする		タントちゃんがんばって！	
2期1章	73	3	タントちゃんを5000かいおうえんする		タントちゃんそっち！そっち！	
2期1章	74	3	タントちゃんを10000かいおうえんする		タントちゃんいつもありがとう！	
2期1章	75	9	プレミアムプランに1かいはいった		プレミアムなプリマジライフ	
2期1章	76	9	プレミアムプランに6かいはいった		圧倒的プレミアム	
2期1章	77	9	プレミアムプランに12かいはいった		プレミアムオブプレミアム	
2期1章	82	5	こんしゅうのみんなでどっちでSHOWに5かいとうひょうした		どっちもいいからまよっちゃう！	
2期1章	83	5	こんしゅうのみんなでどっちでSHOWに50かいとうひょうした		ど・ち・ら・に・し・よ・う・か・な	
2期1章	84	5	こんしゅうのみんなでどっちでSHOWに200かいとうひょうした		こっち！そっち！どっち？	
2期1章	85	5	こんしゅうのみんなでどっちでSHOWに400かいとうひょうした		わたしの一票が結果を変える！	
1期1章	101	3	プリマジを1かいする		はじめてのプリマジスタ	
1期1章	102	3	プリマジを10かいする		うわさのルーキープリマジスタ	
1期1章	103	3	プリマジを20かいする		がんばるフレッシュプリマジスタ	
1期1章	104	3	プリマジを50かいする		人気急上昇！プリマジスタ界のエース	
1期1章	105	3	プリマジを100かいする		世界が注目！トッププリマジスタ	
1期1章	1	5	プリ☆チャンスターMAXのフォロチケを1かいつかう		永遠のプリ☆チャンアイドル	
1期1章	3	4	こだわりメイクパーツを1かいつかう		こだわりメイクの世界	
1期1章	4	7	プリマジスタジオランウェイを1かいする		うきうきファッションランウェイ	
1期1章	5	7	プリマジスタジオランウェイを10かいする		ドキドキモデルスカウト	
1期1章	6	7	プリマジスタジオランウェイを100かいする		まちかどファッションモンスター	
1期1章	7	7	プリマジスタジオランウェイを250かいする		ワールドファッションヴィーナス	
1期1章	8	3	コーデメイツタッチを500かいする		ふれあいコーデメイツ	
1期1章	9	3	コーデメイツタッチを1000かいする		コーデメイツ追いかけ隊！	
1期1章	10	3	コーデメイツタッチを5000かいする		コーデメイツとマジとも！	
1期1章	11	3	コーデメイツタッチを10000かいする		コーデメイツよフォーエバー	
1期1章	12	4	マイキャラメイクを1かいする		楽しいマイキャラチェンジ！	
1期1章	13	4	マイキャラメイクを5かいする		チェンジっ娘	
1期1章	14	4	マイキャラメイクを10かいする		変幻自在ガール	
1期1章	15	4	マイキャラメイクを25かいする		マイキャラ20面相	
1期1章	16	4	マイキャラメイクを50かいする		とことんマイキャラ	
1期1章	17	2	めちゃマジちゅうもくスペシャルコーデを20まいゲットする		あつまる注目コレクション	
1期1章	18	2	めちゃマジちゅうもくスペシャルコーデを100まいゲットする		あふれる注目コレクション	
1期1章	19	2	めちゃマジちゅうもくスペシャルコーデを200まいゲットする		無限の注目コレクション	
1期1章	20	3	マイキャラで10かいあそぶ		マイキャラ大好き💛	
1期1章	21	3	マイキャラで50かいあそぶ		マイキャラ一番！	
1期1章	22	3	マイキャラで100かいあそぶ		マイキャラ至上主義！	
1期1章	23	3	「ワッチャフル」を100かいとる		ワッチャフル！	
1期1章	24	3	「ワッチャフル」を1000かいとる		ワッチャフルフル！	
1期1章	25	3	「ワッチャフル」を5000かいとる		ワッチャフルフルフル！	
1期1章	26	3	「ワッチャフル」を10000かいとる		ワッチャフルフルフルフル！	
1期1章	27	2	コーデカードを20まいゲットする		フレッシュプリマジコレクター	
1期1章	28	2	コーデカードを100まいゲットする		ブロンズプリマジコレクター	
1期1章	29	2	コーデカードを250まいゲットする		シルバープリマジコレクター	
1期1章	30	2	コーデカードを500まいゲットする		ゴールドプリマジコレクター	
1期1章	31	2	コーデカードを1000まいゲットする		プラチナプリマジコレクター	
1期1章	32	3	プリマジフロートタイムで1まいカードゲットする		ワッチャの予感	
